Component_name,Component_id,Isl_id,RA,DEC,E_RA,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,RA_max,DEC_max,E_RA_max,E_DEC_max,S_Code,Xposn,E_Xposn,Yposn,E_Yposn,Xposn_max,E_Xposn_max,Yposn_max,E_Yposn_max,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Tile,Subtile,QL_image_RA,QL_image_DEC,NVSS_distance,FIRST_distance,Peak_to_ring,Duplicate_flag,Quality_flag,Source_name,Source_type,QL_cutout,NN_dist,BMAJ,BMIN,BPA
VLASS1QLCIR J000000.04+800045.6,90,125,0.00017675657877000002,80.01266744553764,7.529480945e-05,0.00011180814732,0.8186520025599999,0.31886555872000005,0.75266829367,0.16584417167999999,3.7452005836920006,1.0868543886600002,2.109197019564,0.352869443208,28.24901001419867,17.01594700806013,6.792549813890001,0.5217474800099999,0.17282096087,-0.0033642838799999995,0.18394798099,0.01142499423,0.00017675657877000002,80.01266744553764,7.529480945e-05,0.00011180814732,C,3656.874990357339,0.27106131401997835,150.16210587878868,0.4025093303519677,3656.874990357339,0.27106131401997835,150.16210587878868,0.4025093303519677,3.7451879092799993,1.0868543886600002,2.109051648756,0.352869443208,31.084658332625388,17.01594700806013,2.136939023016,1.0868543886600002,0.0,0.352869443208,47.051090578606434,17.01594700806013,2.1369371571360003,1.0868543886600002,0.0,0.352869443208,49.88673889703315,17.01594700806013,T30t01,J001131+803000,2.879383333333,80.5,2.6217696290721166,101649.61973979893,1.2458808507653945,0.0,2.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00018&dec=80.01267&layer=vlass1.2&pixscale=0.3516&size=512,4.09073099767696,3.29211068153364,2.20592474937432,10.809265136719999
VLASS1QLCIR J000000.05+441010.5,4,8,0.00022178515263,44.16959551709726,0.00018363378996,0.00010742954902,5.166948378880001,1.27345866877,1.06869314872,0.220937236,7.148515635360003,1.626124910112,4.152024169128,0.780106010904,109.61003807603494,23.357619658203745,2.8150089368700004,0.46301621813,0.23501037504,-0.0022409360600000004,0.12174409494,-0.0015379826,0.00022178515263,44.16959551709726,0.00018363378996,0.00010742954902,S,441.34253239481797,0.6610816438559471,675.3178666482618,0.3867463764719691,441.34253239481797,0.6610816438559471,675.3178666482618,0.3867463764719691,7.148439907488,1.626124910112,4.1519014577999975,0.780106010904,109.22721671977615,23.357619658203745,6.780226707503999,1.626124910112,3.1037765300639997,0.780106010904,111.4934050030994,23.357619658203745,6.780162623759999,1.626124910112,3.1036812552,0.780106010904,111.1105836468406,23.357619658203745,T22t24,J235748+443000,359.4508166667,44.5,19.433964236873653,104502.38963895068,1.8145431201927045,0.0,3.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00022&dec=44.1696&layer=vlass1.2&pixscale=0.3516&size=512,23.10249936886057,2.83885860443112,2.16238713264468,41.66632843018
VLASS1QLCIR J000000.07-062930.6,63,94,0.00029568158110000005,-6.49184829648299,8.530836781e-05,7.611063517e-05,1.9056545165799998,0.44384496007,1.20441557359,0.18069327734,4.8238102275840005,0.918269095248,2.621318194872,0.309935449584,49.16035720485896,13.651731096119681,1.6854222889300001,0.36153608233,0.17885361739999994,0.00248858305,0.14302435738999994,0.04467757026000002,0.00029568158110000005,-6.49184829648299,8.530836781e-05,7.611063517e-05,S,3657.2290726614083,0.30711012411597544,1888.4540346325155,0.2739982866119781,3657.2290726614083,0.30711012411597544,1888.4540346325155,0.2739982866119781,4.823702708040001,0.918269095248,2.621277087336,0.309935449584,49.103550245330354,13.651731096119681,3.406815402948,0.918269095248,0.8189810966159999,0.309935449584,61.69695220095651,13.651731096119681,3.4067135373479998,0.918269095248,0.8189744870519999,0.309935449584,61.64014524142791,13.651731096119681,T09t01,J000200-063000,-6.5,0.5027541666667,105.23534157905829,287.85816677204554,3.621542411206837,0.0,0.0,J000000.07-062930.6,SC,http://legacysurvey.org/viewer/cutout.fits?ra=0.0003&dec=-6.49185&layer=vlass1.2&pixscale=0.3516&size=512,104.89829667668049,3.5943963527678395,2.22330832481376,31.34494400024
VLASS1QLCIR J000000.08+275057.9,-6,55,0.00036917269536,27.84943726532575,0.0,0.0,0.0,0.0,1.14987941924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5583896091199998,0.39126714546999997,0.22888460079999998,-0.0008335155700000001,0.0,0.0,0.00036917269536,27.84943726532575,0.0,0.0,E,3645.000000000061,0.0,3122.000000000032,0.0,3645.000000000061,0.0,3122.000000000032,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T17t01,J000214+273000,27.5,0.5611625,127.14452617691471,46260.95740648894,1.6258011409293682,0.0,4.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00037&dec=27.84944&layer=vlass1.2&pixscale=0.3516&size=512,-99.0,2.95712065696716,2.34896707534788,80.22617340088
VLASS1QLCIR J000000.08+190239.5,36,34,0.00037319390466,19.044330607766216,4.23008144e-05,4.95979806e-05,4.456762567209999,0.9305798427200002,2.73435718362,0.38131640884,3.006191884176,0.453038832396,2.4520968237960004,0.316431261108,31.18504309747541,31.06394683230844,3.7609599991799993,0.6842807499400001,0.3553624847,0.00096207248,0.0,0.00096205622,0.00037319390466,19.044330607766216,4.23008144e-05,4.95979806e-05,S,3658.217632723352,0.1522829318399878,222.3755667569176,0.17855273015998574,3658.217632723352,0.1522829318399878,222.3755667569176,0.17855273015998574,3.006184320108,0.453038832396,2.451932519004,0.316431261108,31.35747577946032,31.06394683230844,1.886848416216,0.453038832396,1.506964903056,0.316431261108,25.379167304694533,31.06394683230844,1.886837491836,0.453038832396,1.5068688599160005,0.316431261108,25.55159998667945,31.06394683230844,T15t01,J000206+193000,19.5,0.5288083333333,86.25033376318186,14750.693914393918,2.57663718395638,2.0,0.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00037&dec=19.04433&layer=vlass1.2&pixscale=0.3516&size=512,-99.0,2.34514188766476,1.9283716678618799,35.5471496582
VLASS1QLCIR J000000.10+190239.8,6,4,0.00042932750569,19.04440022422189,3.3717393409999994e-05,1.897624304e-05,3.90431875046,0.4866574168899999,3.5087945195100003,0.25236995248000005,3.3659857986119994,0.30687601935599995,2.040822810072,0.11580146315999999,66.97433479837287,7.380709603787451,4.014207624,0.47775686791999994,0.25792315137,-0.00028115423,0.04866264862,0.00145803972,0.00042932750569,19.04440022422189,3.3717393409999994e-05,1.897624304e-05,S,712.1034127867372,0.12138261627599027,220.98605600695046,0.06831447494399454,712.1034127867372,0.12138261627599027,220.98605600695046,0.06831447494399454,3.365871530004,0.30687601935599995,2.0407960533960003,0.11580146315999999,66.86426166564755,7.380709603787451,0.0,0.30687601935599995,0.0,0.11580146315999999,0.0,7.380709603787451,0.0,0.30687601935599995,0.0,0.11580146315999999,0.0,7.380709603787451,T15t32,J235839+193000,359.6631041667,19.5,86.55137269943201,14750.973884098881,5.244799919332056,1.0,0.0,J000000.10+190239.8,SC,http://legacysurvey.org/viewer/cutout.fits?ra=0.00043&dec=19.0444&layer=vlass1.2&pixscale=0.3516&size=512,258.87852567059286,2.87814640998852,2.14485001564032,56.04335021973001
VLASS1QLCIR J000000.11+440212.3,54,61,0.00048353599203,44.036770807317936,8.224510108e-05,4.758210905e-05,4.072618748609999,1.12844619589,2.6944250606299995,0.4855880429800001,3.4272225126,0.698865112368,2.5144117292159995,0.40048760952,84.70904751133948,27.46640014186984,4.208622931510002,0.8678313521500001,0.45991310617,-0.013791234780000002,0.038124398999999996,-0.013545321960000002,0.00048353599203,44.036770807317936,8.224510108e-05,4.758210905e-05,S,3657.5926241983598,0.2960823638879763,200.0303837593256,0.1712955925799863,3657.5926241983598,0.2960823638879763,200.0303837593256,0.1712955925799863,3.427112563704,0.698865112368,2.514315468096,0.40048760952,85.19188865155887,27.46640014186984,2.36009197998,0.698865112368,0.8927295318359999,0.40048760952,99.194984387726,27.46640014186984,2.359975289256,0.698865112368,0.8927108551440001,0.40048760952,99.6778255279454,27.46640014186984,T22t01,J000246+443000,44.5,0.6950833333333001,279.2934993810311,104026.09034252168,1.3345838357252608,0.0,1.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00048&dec=44.03677&layer=vlass1.2&pixscale=0.3516&size=512,151.80215846357083,2.67652416229236,2.12994956970216,54.373363494870006
VLASS1QLCIR J000000.14-083620.8,-14,81,0.0006172282939400001,-8.605786832261161,0.0,0.0,0.0,0.0,0.9816823294399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7613423448199999,0.36924445533,0.17630655202,-0.00128223644,0.0,0.0,0.0006172282939400001,-8.605786832261161,0.0,0.0,E,3654.9999999999845,0.0,1477.9999999999825,0.0,3654.9999999999845,0.0,1477.9999999999825,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T08t01,J000201-083000,-8.5,0.5049125,9.553622471962477,0.8674067846205327,1.4457633869107511,0.0,4.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00062&dec=-8.60579&layer=vlass1.2&pixscale=0.3516&size=512,-99.0,3.809150218962,2.27133417129516,33.674236297609994
VLASS1QLCIR J000000.19-040242.4,4,5,0.0008059659204499999,-4.04512270158014,2.71703517e-06,3.5168091400000013e-06,34.52499595314,0.4333786687100001,32.160265955970004,0.2269919916300001,3.842250489324,0.035884171475999996,2.151276288804,0.011475212831999999,35.93729850717425,0.5950131830309,35.221368744260005,0.65332046489,0.23752405831999998,-0.0008967238600000002,0.38618207327,0.11398660718,0.0008059659204499999,-4.04512270158014,2.71703517e-06,3.5168091400000013e-06,S,101.06778804223292,0.009781326611999215,3496.9511730962768,0.012660512903998987,101.06778804223292,0.009781326611999215,3496.9511730962768,0.012660512903998987,3.842246648628,0.035884171475999996,2.1511324676880004,0.011475212831999999,35.9718508087248,0.5950131830309,1.454593605156,0.035884171475999996,0.0,0.011475212831999999,35.05691313991214,0.5950131830309,1.454591763216,0.035884171475999996,0.0,0.011475212831999999,35.091465441462674,0.5950131830309,T09t36,J235802-043000,359.5109875,-4.5,0.4576722896132397,0.295371792008221,32.99302499299068,2.0,0.0,,,http://legacysurvey.org/viewer/cutout.fits?ra=0.00081&dec=-4.04512&layer=vlass1.2&pixscale=0.3516&size=512,-99.0,3.55635714530952,2.16487598419188,36.21243286133
VLASS1QLCIR J000000.21-040242.0,72,105,0.0008989744425700002,-4.04502551242393,2.94852015e-06,2.89279634e-06,45.73029894447001,0.53351766346,41.90222122304,0.21488733181999997,4.428917397288,0.034037621316,2.163724996968,0.00822268152,44.42097308641212,0.40448132093336,46.23809283101,0.5308588713600001,0.21488733181999997,-0.011473457560000002,0.28695151559,0.11698096205,0.00116101795202,-4.045311660703439,2.94852015e-06,2.89279634e-06,M,3656.6490365074046,0.01061467253999915,3497.2754729479357,0.010414066823999169,3655.707431482973,0.01061467253999915,3496.2460163471615,0.010414066823999169,4.4286108468480005,0.034037621316,2.163724507548,0.00822268152,44.38568073447485,0.40448132093336,1.355580011484,0.034037621316,0.0,0.00822268152,57.22847140657865,0.40448132093336,1.3554884608559998,0.034037621316,0.0,0.00822268152,57.193179054641384,0.40448132093336,T09t01,J000200-043000,-4.5,0.5012208333333,0.8435614632387812,0.6921117376289306,29.59289044917489,1.0,0.0,J000000.21-040242.0,SC,http://legacysurvey.org/viewer/cutout.fits?ra=0.0009&dec=-4.04503&layer=vlass1.2&pixscale=0.3516&size=512,173.99539689640758,4.2298445701583995,2.18801760673536,42.4377784729
